timestamp,roll_deg,pitch_deg,yaw_deg,rollspeed_dps,pitchspeed_dps,yawspeed_dps,ch1_roll,ch2_pitch,ch3_throttle,ch4_yaw,ch5,ch6,ch7,ch8,armed
2026-04-25T19:34:03.656,1.411,0.175,328.009,0.004,0.026,-0.042,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:03.755,1.414,0.172,328.006,0.628,-0.439,-0.325,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:03.756,1.414,0.172,328.006,0.628,-0.439,-0.325,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:03.855,1.414,0.174,328.01,0.019,0.141,1.341,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:03.857,1.414,0.174,328.01,0.019,0.141,1.341,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:03.955,1.413,0.172,327.993,-0.074,-0.029,-0.402,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:03.956,1.413,0.172,327.993,-0.074,-0.029,-0.402,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:04.054,1.413,0.172,327.993,-0.074,-0.029,-0.402,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:04.055,1.413,0.169,328.006,-0.072,-0.016,0.163,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:04.056,1.413,0.169,328.006,-0.072,-0.016,0.163,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:04.154,1.406,0.177,328.01,-0.234,0.165,-0.159,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:04.155,1.406,0.177,328.01,-0.234,0.165,-0.159,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:04.255,1.408,0.175,327.998,-0.059,-0.032,-0.515,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:04.255,1.408,0.175,327.998,-0.059,-0.032,-0.515,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:04.355,1.414,0.167,328.011,0.021,-0.099,0.097,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:04.356,1.414,0.167,328.011,0.021,-0.099,0.097,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:04.455,1.416,0.167,328.019,-0.029,0.11,-0.093,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:04.455,1.416,0.167,328.019,-0.029,0.11,-0.093,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:04.555,1.411,0.167,327.895,-0.029,0.173,-0.874,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:04.555,1.411,0.167,327.895,-0.029,0.173,-0.874,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:04.654,1.492,0.142,328.201,3.133,-1.642,5.415,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:04.654,1.492,0.142,328.201,3.133,-1.642,5.415,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:04.753,1.619,0.604,328.572,-4.504,7.651,-0.353,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:04.754,1.619,0.604,328.572,-4.504,7.651,-0.353,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:04.853,1.588,1.381,329.169,-0.993,5.155,3.385,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:04.854,1.588,1.381,329.169,-0.993,5.155,3.385,0,0,0,0,0,0,0,0,1
